"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 09:20:04 EEST 2022","Tue Oct 11 09:20:20 EEST 2022","15850","","Dashboard","","","","SIP Trunking add connection",""
"passed","Tue Oct 11 09:20:33 EEST 2022","Tue Oct 11 09:20:46 EEST 2022","13477","","Dashboard","","","","SIP Trunking edit name for last connection",""
"passed","Tue Oct 11 09:27:01 EEST 2022","Tue Oct 11 09:27:23 EEST 2022","21924","","Dashboard","","","","Create Outbound Voice Profile(negative)",""
"passed","Tue Oct 11 09:21:54 EEST 2022","Tue Oct 11 09:22:12 EEST 2022","18065","","Dashboard","","","","Add new Profile",""
"passed","Tue Oct 11 09:22:41 EEST 2022","Tue Oct 11 09:22:56 EEST 2022","15641","","Login page","","","","Wrong Login",""
"passed","Tue Oct 11 09:24:09 EEST 2022","Tue Oct 11 09:24:25 EEST 2022","15678","","Dashboard","","","","Add Programmable Voice App(negative)",""
"passed","Tue Oct 11 09:26:08 EEST 2022","Tue Oct 11 09:27:01 EEST 2022","53151","","Dashboard","","","","Create Outbound Voice Profile",""
"passed","Tue Oct 11 09:19:36 EEST 2022","Tue Oct 11 09:20:04 EEST 2022","27755","","Dashboard","","","","WhatsApp Business (negative)",""
"passed","Tue Oct 11 09:24:25 EEST 2022","Tue Oct 11 09:24:39 EEST 2022","14315","","Dashboard","","","","Edit Programmable Voice App",""
"passed","Tue Oct 11 09:24:39 EEST 2022","Tue Oct 11 09:24:51 EEST 2022","11726","","Dashboard","","","","Delete Programmable Voice App",""
"passed","Tue Oct 11 09:21:25 EEST 2022","Tue Oct 11 09:21:54 EEST 2022","28877","","Dashboard","","","","Add SIM to Cart",""
"passed","Tue Oct 11 09:20:47 EEST 2022","Tue Oct 11 09:20:58 EEST 2022","11565","","Dashboard","","","","SIP Trunking delete last connection",""
"passed","Tue Oct 11 09:27:23 EEST 2022","Tue Oct 11 09:27:47 EEST 2022","23586","","Dashboard","","","","Edit Outbound Voice Profile",""
"passed","Tue Oct 11 09:27:47 EEST 2022","Tue Oct 11 09:28:07 EEST 2022","19335","","Dashboard","","","","Delete Outbound Voice Profile",""
"passed","Tue Oct 11 09:20:20 EEST 2022","Tue Oct 11 09:20:33 EEST 2022","12685","","Dashboard","","","","SIP Trunking add connection(negative)",""
"passed","Tue Oct 11 09:23:37 EEST 2022","Tue Oct 11 09:24:09 EEST 2022","32535","","Dashboard","","","","Add Programmable Voice App",""
"passed","Tue Oct 11 09:22:56 EEST 2022","Tue Oct 11 09:23:18 EEST 2022","21236","","Login page","","","","Success Login",""
