"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 11:17:06 EEST 2022","Tue Oct 11 11:17:28 EEST 2022","21364","","Dashboard","","","","Add Programmable Voice App(negative)",""
"passed","Tue Oct 11 10:58:08 EEST 2022","Tue Oct 11 10:58:24 EEST 2022","16061","","Dashboard","","","","SIP Trunking add connection(negative)",""
"passed","Tue Oct 11 11:16:14 EEST 2022","Tue Oct 11 11:17:06 EEST 2022","51636","","Dashboard","","","","Add Programmable Voice App",""
"passed","Tue Oct 11 11:06:02 EEST 2022","Tue Oct 11 11:06:38 EEST 2022","35755","","Dashboard","","","","Edit Outbound Voice Profile",""
"passed","Tue Oct 11 11:17:46 EEST 2022","Tue Oct 11 11:18:04 EEST 2022","17452","","Dashboard","","","","Delete Programmable Voice App",""
"passed","Tue Oct 11 11:03:14 EEST 2022","Tue Oct 11 11:05:01 EEST 2022","106636","","Dashboard","","","","Create Outbound Voice Profile",""
"passed","Tue Oct 11 11:00:56 EEST 2022","Tue Oct 11 11:01:12 EEST 2022","15924","","Login page","","","","Wrong Login",""
"passed","Tue Oct 11 10:59:40 EEST 2022","Tue Oct 11 11:00:15 EEST 2022","34518","","Dashboard","","","","Add SIM to Cart",""
"passed","Tue Oct 11 11:01:12 EEST 2022","Tue Oct 11 11:01:43 EEST 2022","30127","","Login page","","","","Success Login",""
"passed","Tue Oct 11 11:05:02 EEST 2022","Tue Oct 11 11:06:02 EEST 2022","59691","","Dashboard","","","","Create Outbound Voice Profile(negative)",""
"passed","Tue Oct 11 11:17:28 EEST 2022","Tue Oct 11 11:17:46 EEST 2022","18298","","Dashboard","","","","Edit Programmable Voice App",""
"passed","Tue Oct 11 11:00:16 EEST 2022","Tue Oct 11 11:00:34 EEST 2022","18198","","Dashboard","","","","Add new Profile",""
"passed","Tue Oct 11 11:06:38 EEST 2022","Tue Oct 11 11:07:09 EEST 2022","30697","","Dashboard","","","","Delete Outbound Voice Profile",""
"passed","Tue Oct 11 10:57:10 EEST 2022","Tue Oct 11 10:57:48 EEST 2022","38783","","Dashboard","","","","WhatsApp Business (negative)",""
"passed","Tue Oct 11 10:58:40 EEST 2022","Tue Oct 11 10:58:56 EEST 2022","15851","","Dashboard","","","","SIP Trunking delete last connection",""
"passed","Tue Oct 11 10:57:49 EEST 2022","Tue Oct 11 10:58:08 EEST 2022","19056","","Dashboard","","","","SIP Trunking add connection",""
"passed","Tue Oct 11 10:58:24 EEST 2022","Tue Oct 11 10:58:40 EEST 2022","16413","","Dashboard","","","","SIP Trunking edit name for last connection",""
